Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28.0,1990.0,27.9,51.0,32,33.0,16.0,2.0,22.0,54.0,40.7,32.0,267.0,74.0,27.7,159.0,71.0,37.0,57.0,13.0,1.0,44.0,23,74,67.0,3.0,Matches,Patrick van Aanholt,Patrick-van-Aanholt
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19.0,2000.0,36.0,64.0,36,40.0,17.0,7.0,21.0,45.0,46.7,24.0,487.0,132.0,27.1,283.0,142.0,62.0,100.0,30.0,2.0,70.0,20,84,86.0,0.0,Matches,Max Aarons,Max-Aarons
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31.0,1987.0,28.0,61.0,37,43.0,16.0,2.0,14.0,28.0,50.0,14.0,299.0,111.0,37.1,189.0,97.0,13.0,43.0,19.0,0.0,24.0,24,85,166.0,1.0,Matches,Yunis Abdelhamid,Yunis-Abdelhamid
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22.0,1996.0,1.7,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,25.0,9.0,36.0,9.0,11.0,5.0,3.0,1.0,0.0,2.0,1,2,2.0,0.0,Matches,Suleiman Abdullahi,Suleiman-Abdullahi
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26.0,1992.0,20.2,60.0,41,24.0,34.0,2.0,24.0,62.0,38.7,38.0,417.0,114.0,27.3,121.0,233.0,63.0,18.0,3.0,0.0,15.0,17,77,22.0,0.0,Matches,Mehdi Abeid,Mehdi-Abeid
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19.0,2000.0,6.9,10.0,8,3.0,5.0,2.0,3.0,11.0,27.3,8.0,181.0,53.0,29.3,5.0,86.0,90.0,1.0,0.0,0.0,1.0,4,14,5.0,0.0,Matches,Charles Abi,Charles-Abi
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33.0,1986.0,18.8,30.0,22,18.0,10.0,2.0,16.0,34.0,47.1,18.0,200.0,75.0,37.5,109.0,78.0,13.0,31.0,14.0,1.0,17.0,16,46,87.0,1.0,Matches,David Abraham,David-Abraham
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21.0,1997.0,24.6,14.0,10,4.0,5.0,5.0,4.0,16.0,25.0,12.0,430.0,130.0,30.2,19.0,169.0,242.0,23.0,5.0,0.0,18.0,5,19,26.0,0.0,Matches,Tammy Abraham,Tammy-Abraham
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29.0,1990.0,7.4,23.0,13,11.0,11.0,1.0,7.0,17.0,41.2,10.0,164.0,41.0,25.0,68.0,82.0,14.0,19.0,3.0,0.0,16.0,8,31,15.0,1.0,Matches,Amir Abrashi,Amir-Abrashi
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31.0,1988.0,35.1,52.0,33,36.0,10.0,6.0,13.0,26.0,50.0,13.0,319.0,114.0,35.7,212.0,81.0,26.0,61.0,30.0,0.0,31.0,28,80,165.0,2.0,Matches,Francesco Acerbi,Francesco-Acerbi
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23.0,1996.0,12.3,8.0,6,2.0,4.0,2.0,0.0,5.0,0.0,5.0,231.0,58.0,25.1,9.0,97.0,125.0,10.0,1.0,0.0,9.0,3,11,10.0,0.0,Matches,Che Adams,Che-Adams
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20.0,1999.0,10.6,23.0,12,13.0,8.0,2.0,9.0,30.0,30.0,21.0,194.0,60.0,30.9,79.0,88.0,27.0,22.0,1.0,0.0,21.0,7,30,16.0,0.0,Matches,Tyler Adams,Tyler-Adams
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26.0,1993.0,8.3,10.0,4,2.0,5.0,3.0,4.0,24.0,16.7,20.0,209.0,45.0,21.5,33.0,93.0,83.0,5.0,1.0,0.0,4.0,3,13,5.0,0.0,Matches,Sargis Adamyan,Sargis-Adamyan
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32.0,1987.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Antonio Adán,Antonio-Adan
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20.0,1999.0,2.1,4.0,3,0.0,4.0,0.0,1.0,5.0,20.0,4.0,60.0,10.0,16.7,4.0,37.0,19.0,0.0,0.0,0.0,0.0,2,6,1.0,0.0,Matches,Bobby Adekanye,Bobby-Adekanye
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21.0,1998.0,2.6,5.0,3,2.0,2.0,1.0,0.0,2.0,0.0,2.0,50.0,12.0,24.0,28.0,11.0,11.0,5.0,3.0,0.0,2.0,3,8,9.0,0.0,Matches,Claud Adjapong,Claud-Adjapong
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19.0,2000.0,0.5,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,17.0,4.0,23.5,6.0,10.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,Matches,Amine Adli,Amine-Adli
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19.0,2000.0,11.3,27.0,18,6.0,15.0,6.0,10.0,31.0,32.3,21.0,328.0,86.0,26.2,72.0,166.0,90.0,11.0,0.0,0.0,11.0,9,36,4.0,0.0,Matches,Yacine Adli,Yacine-Adli
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32.0,1987.0,9.7,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,Matches,Adrián,Adrian
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38.0,1981.0,2.3,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,16.0,4.0,25.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0,1,3.0,0.0,Matches,Aritz Aduriz,Aritz-Aduriz
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22.0,1996.0,20.1,35.0,23,24.0,8.0,3.0,18.0,35.0,51.4,17.0,225.0,66.0,29.3,129.0,70.0,26.0,37.0,1.0,0.0,36.0,11,46,62.0,0.0,Matches,Lumor Agbenyenu,Lumor-Agbenyenu
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23.0,1996.0,23.3,50.0,22,24.0,21.0,5.0,25.0,50.0,50.0,25.0,248.0,60.0,24.2,118.0,106.0,24.0,39.0,8.0,0.0,31.0,9,59,68.0,1.0,Matches,Martin Agirregabiria,Martin-Agirregabiria
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17.0,2002.0,0.8,4.0,3,1.0,1.0,2.0,1.0,1.0,100.0,0.0,15.0,2.0,13.3,4.0,7.0,4.0,3.0,1.0,0.0,2.0,1,5,1.0,0.0,Matches,Lucien Agoume,Lucien-Agoume
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20.0,1998.0,0.7,3.0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,22.0,6.0,27.3,6.0,9.0,7.0,1.0,0.0,0.0,1.0,0,3,0.0,0.0,Matches,Kevin Agudelo,Kevin-Agudelo
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20.0,1998.0,7.4,25.0,18,12.0,10.0,3.0,10.0,26.0,38.5,16.0,217.0,46.0,21.2,72.0,109.0,36.0,12.0,1.0,0.0,11.0,6,31,3.0,0.0,Matches,Kevin Agudelo,Kevin-Agudelo
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23.0,1996.0,10.6,14.0,11,9.0,4.0,1.0,6.0,13.0,46.2,7.0,106.0,28.0,26.4,74.0,30.0,2.0,21.0,13.0,0.0,8.0,10,24,88.0,2.0,Matches,Nayef Aguerd,Nayef-Aguerd
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31.0,1988.0,16.1,7.0,5,0.0,4.0,3.0,1.0,6.0,16.7,5.0,222.0,56.0,25.2,13.0,74.0,135.0,15.0,2.0,0.0,13.0,2,9,3.0,0.0,Matches,Sergio Agüero,Sergio-Aguero
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26.0,1993.0,11.9,39.0,28,20.0,14.0,5.0,18.0,27.0,66.7,9.0,203.0,71.0,35.0,99.0,75.0,29.0,11.0,2.0,0.0,9.0,11,50,25.0,1.0,Matches,Ruben Aguilar,Ruben-Aguilar
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28.0,1990.0,2.6,2.0,1,0.0,2.0,0.0,0.0,3.0,0.0,3.0,30.0,4.0,13.3,13.0,11.0,6.0,4.0,2.0,0.0,2.0,1,3,6.0,0.0,Matches,Emmanuel Agyemang-Badu,Emmanuel-Agyemang-Badu
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25.0,1994.0,7.0,21.0,19,5.0,14.0,2.0,4.0,11.0,36.4,7.0,148.0,57.0,38.5,24.0,104.0,20.0,8.0,1.0,0.0,7.0,12,33,13.0,0.0,Matches,Jean-Eudes Aholou,Jean-Eudes-Aholou
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23.0,1995.0,27.8,40.0,26,28.0,11.0,1.0,8.0,28.0,28.6,20.0,304.0,108.0,35.5,218.0,79.0,7.0,42.0,16.0,0.0,26.0,33,73,162.0,1.0,Matches,Joseph Aidoo,Joseph-Aidoo
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22.0,1996.0,23.1,49.0,28,26.0,19.0,4.0,24.0,49.0,49.0,25.0,328.0,95.0,29.0,140.0,130.0,58.0,70.0,9.0,0.0,61.0,26,75,56.0,1.0,Matches,Ola Aina,Ola-Aina
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23.0,1996.0,6.0,11.0,7,7.0,4.0,0.0,2.0,25.0,8.0,23.0,164.0,48.0,29.3,41.0,108.0,15.0,12.0,2.0,0.0,10.0,5,16,7.0,0.0,Matches,Youssef Aït Bennasser,Youssef-Ait-Bennasser
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18.0,2001.0,14.2,32.0,18,13.0,11.0,8.0,6.0,24.0,25.0,18.0,224.0,83.0,37.1,104.0,83.0,37.0,32.0,1.0,0.0,31.0,13,45,51.0,0.0,Matches,Rayan Aït Nouri,Rayan-Ait-Nouri
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22.0,1997.0,1.5,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,21.0,1.0,4.8,3.0,6.0,12.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,Matches,Albian Ajeti,Albian-Ajeti
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25.0,1994.0,22.9,18.0,14,3.0,13.0,2.0,3.0,19.0,15.8,16.0,280.0,75.0,26.8,19.0,146.0,115.0,11.0,2.0,0.0,9.0,3,21,23.0,0.0,Matches,Ludovic Ajorque,Ludovic-Ajorque
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24.0,1995.0,25.7,44.0,23,29.0,13.0,2.0,17.0,30.0,56.7,13.0,223.0,86.0,38.6,129.0,83.0,11.0,35.0,11.0,0.0,24.0,18,62,85.0,3.0,Matches,Manuel Akanji,Manuel-Akanji
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18.0,2001.0,1.1,4.0,2,2.0,2.0,0.0,1.0,2.0,50.0,1.0,15.0,4.0,26.7,3.0,10.0,2.0,0.0,0.0,0.0,0.0,2,6,0.0,0.0,Matches,Marley Aké,Marley-Ake
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24.0,1995.0,27.8,25.0,11,20.0,5.0,0.0,7.0,24.0,29.2,17.0,222.0,66.0,29.7,146.0,66.0,10.0,59.0,30.0,0.0,29.0,27,52,176.0,1.0,Matches,Nathan Aké,Nathan-Ake
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24.0,1995.0,6.0,17.0,13,7.0,7.0,3.0,3.0,17.0,17.6,14.0,140.0,43.0,30.7,40.0,71.0,29.0,8.0,1.0,0.0,7.0,5,22,4.0,0.0,Matches,Chadrac Akolo,Chadrac-Akolo
41,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24.0,1995.0,12.7,27.0,11,19.0,8.0,0.0,15.0,32.0,46.9,17.0,169.0,56.0,33.1,106.0,54.0,9.0,31.0,10.0,0.0,21.0,11,38,67.0,1.0,Matches,Kevin Akpoguma,Kevin-Akpoguma
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27.0,1992.0,27.8,27.0,17,10.0,17.0,0.0,10.0,24.0,41.7,14.0,208.0,80.0,38.5,79.0,109.0,20.0,40.0,11.0,0.0,29.0,11,38,65.0,0.0,Matches,David Alaba,David-Alaba
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21.0,1998.0,15.6,49.0,30,28.0,12.0,9.0,25.0,49.0,51.0,24.0,250.0,78.0,31.2,124.0,81.0,45.0,23.0,2.0,0.0,21.0,18,67,35.0,2.0,Matches,Sofiane Alakouch,Sofiane-Alakouch
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26.0,1992.0,13.0,7.0,2,1.0,3.0,3.0,3.0,10.0,30.0,7.0,185.0,51.0,27.6,5.0,72.0,108.0,9.0,2.0,0.0,7.0,2,9,5.0,0.0,Matches,Lucas Alario,Lucas-Alario
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30.0,1989.0,24.3,25.0,14,10.0,9.0,6.0,8.0,30.0,26.7,22.0,231.0,68.0,29.4,89.0,95.0,47.0,40.0,5.0,0.0,35.0,25,50,42.0,1.0,Matches,Jordi Alba,Jordi-Alba
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26.0,1992.0,34.6,52.0,34,24.0,22.0,6.0,22.0,90.0,24.4,68.0,675.0,202.0,29.9,187.0,322.0,166.0,43.0,1.0,0.0,42.0,16,68,16.0,0.0,Matches,Luis Alberto,Luis-Alberto
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33.0,1985.0,36.0,50.0,33,31.0,18.0,1.0,18.0,33.0,54.5,15.0,278.0,85.0,30.6,172.0,102.0,4.0,40.0,21.0,0.0,19.0,17,67,254.0,4.0,Matches,Raúl Albiol,Raul-Albiol
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29.0,1989.0,9.6,23.0,11,11.0,11.0,1.0,7.0,29.0,24.1,22.0,192.0,66.0,34.4,46.0,95.0,51.0,18.0,1.0,0.0,17.0,9,32,6.0,0.0,Matches,Marc Albrighton,Marc-Albrighton
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25.0,1993.0,10.3,4.0,2,2.0,2.0,0.0,1.0,12.0,8.3,11.0,146.0,43.0,29.5,18.0,67.0,61.0,10.0,2.0,0.0,8.0,2,6,9.0,0.0,Matches,Paco Alcácer,Paco-Alcacer
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25.0,1993.0,5.9,2.0,2,0.0,2.0,0.0,1.0,8.0,12.5,7.0,88.0,22.0,25.0,4.0,39.0,45.0,3.0,1.0,0.0,2.0,2,4,2.0,0.0,Matches,Paco Alcácer,Paco-Alcacer
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28.0,1991.0,19.7,54.0,38,19.0,29.0,6.0,14.0,40.0,35.0,26.0,292.0,101.0,34.6,68.0,167.0,57.0,21.0,4.0,0.0,17.0,23,77,19.0,1.0,Matches,Thiago Alcántara,Thiago-Alcantara
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28.0,1991.0,21.4,59.0,36,34.0,20.0,5.0,23.0,61.0,37.7,38.0,444.0,130.0,29.3,184.0,232.0,28.0,57.0,20.0,0.0,37.0,16,75,68.0,0.0,Matches,Rubén Alcaraz,Ruben-Alcaraz
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30.0,1989.0,32.9,44.0,24,24.0,17.0,3.0,14.0,36.0,38.9,22.0,258.0,83.0,32.2,169.0,79.0,10.0,69.0,34.0,1.0,35.0,11,55,229.0,3.0,Matches,Toby Alderweireld,Toby-Alderweireld
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28.0,1991.0,21.3,44.0,28,24.0,17.0,3.0,20.0,50.0,40.0,30.0,374.0,105.0,28.1,170.0,160.0,44.0,55.0,13.0,1.0,42.0,26,70,98.0,1.0,Matches,Haitam Aleesami,Haitam-Aleesami
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26.0,1992.0,1.2,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,21.0,6.0,28.6,1.0,8.0,12.0,1.0,0.0,0.0,1.0,1,2,0.0,0.0,Matches,Álex Alegría,Alex-Alegria
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21.0,1998.0,1.9,2.0,1,1.0,1.0,0.0,1.0,5.0,20.0,4.0,38.0,6.0,15.8,10.0,21.0,7.0,2.0,0.0,0.0,2.0,0,2,1.0,0.0,Matches,Carles Aleñá,Carles-Alena
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21.0,1998.0,8.2,20.0,11,4.0,10.0,6.0,7.0,20.0,35.0,13.0,136.0,26.0,19.1,34.0,68.0,34.0,9.0,2.0,0.0,7.0,1,21,4.0,0.0,Matches,Carles Aleñá,Carles-Alena
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24.0,1995.0,10.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Matches,Rúnar Alex Rúnarsson,Runar-Alex-Runarsson
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20.0,1998.0,35.3,58.0,25,38.0,14.0,6.0,34.0,85.0,40.0,51.0,409.0,131.0,32.0,193.0,123.0,93.0,53.0,9.0,0.0,44.0,34,92,98.0,2.0,Matches,Trent Alexander-Arnold,Trent-Alexander-Arnold
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31.0,1988.0,3.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Enrico Alfonso,Enrico-Alfonso
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27.0,1992.0,17.4,13.0,11,2.0,8.0,3.0,4.0,13.0,30.8,9.0,373.0,84.0,22.5,10.0,213.0,150.0,4.0,0.0,0.0,4.0,4,17,10.0,0.0,Matches,Rachid Alioui,Rachid-Alioui
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26.0,1992.0,28.3,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,1.0,Matches,Alisson,Alisson
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28.0,1991.0,14.2,55.0,36,21.0,25.0,9.0,17.0,50.0,34.0,33.0,411.0,105.0,25.5,121.0,218.0,72.0,26.0,3.0,0.0,23.0,5,60,16.0,0.0,Matches,Allan,Allan
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23.0,1996.0,20.5,41.0,29,10.0,24.0,7.0,8.0,32.0,25.0,24.0,479.0,135.0,28.2,108.0,234.0,137.0,53.0,7.0,0.0,46.0,7,48,17.0,0.0,Matches,Dele Alli,Dele-Alli
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25.0,1994.0,33.6,62.0,36,34.0,17.0,11.0,13.0,46.0,28.3,33.0,732.0,175.0,23.9,237.0,278.0,217.0,44.0,1.0,0.0,43.0,20,82,16.0,0.0,Matches,Miguel Almirón,Miguel-Almiron
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28.0,1990.0,15.9,27.0,19,17.0,6.0,4.0,5.0,28.0,17.9,23.0,215.0,88.0,40.9,89.0,84.0,42.0,30.0,1.0,0.0,29.0,14,41,48.0,0.0,Matches,Marcos Alonso,Marcos-Alonso
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30.0,1989.0,15.3,43.0,19,30.0,10.0,3.0,16.0,34.0,47.1,18.0,221.0,59.0,26.7,122.0,81.0,18.0,38.0,5.0,0.0,33.0,13,56,82.0,0.0,Matches,Mickaël Alphonse,Mickael-Alphonse
68,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32.0,1986.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Sergio Álvarez,Sergio-Alvarez
69,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27.0,1992.0,12.7,37.0,20,14.0,22.0,1.0,9.0,34.0,26.5,25.0,265.0,80.0,30.2,84.0,150.0,31.0,25.0,3.0,0.0,22.0,9,46,58.0,0.0,Matches,Sergio Álvarez,Sergio-Alvarez
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24.0,1995.0,31.2,39.0,25,27.0,11.0,1.0,13.0,31.0,41.9,18.0,222.0,79.0,35.6,145.0,64.0,13.0,58.0,23.0,2.0,35.0,34,73,264.0,2.0,Matches,Yeray Álvarez,Yeray-Alvarez
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37.0,1981.0,29.7,23.0,11,17.0,6.0,0.0,9.0,14.0,64.3,5.0,172.0,49.0,28.5,133.0,32.0,7.0,40.0,26.0,1.0,14.0,15,38,189.0,3.0,Matches,Bruno Alves,Bruno-Alves
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20.0,1998.0,13.2,28.0,23,23.0,3.0,2.0,10.0,22.0,45.5,12.0,235.0,77.0,32.8,99.0,94.0,42.0,26.0,3.0,0.0,23.0,10,38,14.0,0.0,Matches,Steven Alzate,Steven-Alzate
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26.0,1993.0,8.4,21.0,7,12.0,8.0,1.0,3.0,11.0,27.3,8.0,107.0,26.0,24.3,64.0,40.0,3.0,8.0,6.0,0.0,2.0,11,32,58.0,1.0,Matches,Ibrahim Amadou,Ibrahim-Amadou
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26.0,1993.0,8.6,16.0,9,7.0,9.0,0.0,3.0,10.0,30.0,7.0,161.0,42.0,26.1,53.0,90.0,18.0,7.0,0.0,0.0,7.0,5,21,8.0,0.0,Matches,Ibrahim Amadou,Ibrahim-Amadou
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29.0,1989.0,18.8,43.0,22,20.0,20.0,3.0,14.0,57.0,24.6,43.0,438.0,123.0,28.1,155.0,242.0,41.0,25.0,8.0,0.0,17.0,17,60,22.0,1.0,Matches,Romain Amalfitano,Romain-Amalfitano
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23.0,1996.0,0.7,2.0,0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,36.0,10.0,27.8,8.0,16.0,12.0,1.0,0.0,0.0,1.0,1,3,1.0,0.0,Matches,Amath,Amath
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25.0,1994.0,24.0,62.0,28,40.0,17.0,5.0,31.0,68.0,45.6,37.0,287.0,88.0,30.7,142.0,98.0,47.0,53.0,5.0,0.0,48.0,30,92,131.0,1.0,Matches,Jordan Amavi,Jordan-Amavi
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22.0,1997.0,6.1,7.0,5,1.0,4.0,2.0,1.0,8.0,12.5,7.0,122.0,37.0,30.3,25.0,53.0,44.0,5.0,0.0,0.0,5.0,4,11,3.0,0.0,Matches,Thierry Ambrose,Thierry-Ambrose
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21.0,1998.0,18.1,27.0,15,22.0,4.0,1.0,9.0,23.0,39.1,14.0,218.0,51.0,23.4,128.0,56.0,34.0,25.0,9.0,0.0,16.0,12,39,61.0,2.0,Matches,Kelvin Amian,Kelvin-Amian
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22.0,1996.0,20.6,18.0,13,7.0,8.0,3.0,4.0,26.0,15.4,22.0,286.0,98.0,34.3,50.0,153.0,83.0,28.0,2.0,0.0,26.0,14,32,9.0,1.0,Matches,Nadiem Amiri,Nadiem-Amiri
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18.0,2000.0,0.9,5.0,3,4.0,1.0,0.0,1.0,2.0,50.0,1.0,15.0,8.0,53.3,9.0,6.0,0.0,2.0,1.0,0.0,1.0,0,5,7.0,0.0,Matches,Ethan Ampadu,Ethan-Ampadu
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23.0,1996.0,5.6,10.0,6,4.0,4.0,2.0,3.0,12.0,25.0,9.0,90.0,21.0,23.3,21.0,42.0,27.0,4.0,0.0,0.0,4.0,3,13,5.0,0.0,Matches,Opoku Ampomah,Opoku-Ampomah
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22.0,1996.0,32.4,63.0,42,28.0,25.0,10.0,20.0,65.0,30.8,45.0,593.0,171.0,28.8,164.0,314.0,115.0,43.0,13.0,0.0,30.0,27,90,31.0,2.0,Matches,Sofyan Amrabat,Sofyan-Amrabat
