Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last
449,Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,31.0,1987.0,32.6,8.0,5,0.0,6.0,2.0,0.0,12.0,0.0,12.0,375.0,100.0,26.7,17.0,126.0,232.0,17.0,3.0,0.0,14.0,1,9,9.0,0.0,Matches,Francesco Caputo,Francesco-Caputo
450,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,19.0,2000.0,6.3,18.0,11,5.0,12.0,1.0,6.0,23.0,26.1,17.0,237.0,67.0,28.3,63.0,126.0,48.0,17.0,3.0,0.0,14.0,7,25,5.0,1.0,Matches,Maxence Caqueret,Maxence-Caqueret
451,Andrea Carboni\Andrea-Carboni,it ITA,DFMF,Cagliari,it Serie A,18.0,2001.0,4.1,7.0,2,4.0,3.0,0.0,2.0,3.0,66.7,1.0,52.0,7.0,13.5,29.0,23.0,0.0,9.0,6.0,0.0,3.0,5,12,17.0,0.0,Matches,Andrea Carboni,Andrea-Carboni
452,Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,21.0,1997.0,16.1,16.0,11,7.0,6.0,3.0,7.0,28.0,25.0,21.0,331.0,94.0,28.4,60.0,150.0,121.0,15.0,1.0,0.0,14.0,3,19,7.0,1.0,Matches,Irvin Cardona,Irvin-Cardona
453,Marc Cardona\Marc-Cardona,es ESP,FW,Osasuna,es La Liga,24.0,1995.0,7.8,2.0,2,1.0,1.0,0.0,0.0,7.0,0.0,7.0,150.0,47.0,31.3,10.0,77.0,63.0,7.0,0.0,0.0,7.0,0,2,4.0,0.0,Matches,Marc Cardona,Marc-Cardona
454,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,26.0,1993.0,34.8,45.0,34,28.0,16.0,1.0,16.0,29.0,55.2,13.0,187.0,75.0,40.1,108.0,71.0,8.0,56.0,29.0,0.0,27.0,19,64,241.0,3.0,Matches,Diego Carlos,Diego-Carlos
455,Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,28.0,1991.0,14.1,20.0,8,15.0,4.0,1.0,10.0,19.0,52.6,9.0,140.0,40.0,28.6,74.0,46.0,20.0,16.0,2.0,0.0,14.0,13,33,34.0,0.0,Matches,Lionel Carole,Lionel-Carole
456,Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,25.0,1993.0,7.0,13.0,7,6.0,4.0,3.0,5.0,16.0,31.3,11.0,148.0,38.0,25.7,39.0,64.0,45.0,11.0,0.0,0.0,11.0,5,18,2.0,0.0,Matches,Yannick Carrasco,Yannick-Carrasco
457,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,es La Liga,30.0,1988.0,9.4,11.0,9,7.0,3.0,1.0,3.0,8.0,37.5,5.0,47.0,14.0,29.8,22.0,20.0,5.0,10.0,3.0,0.0,7.0,3,14,44.0,1.0,Matches,Daniel Carriço,Daniel-Carrico
458,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,es La Liga,28.0,1991.0,13.5,16.0,10,2.0,11.0,3.0,2.0,12.0,16.7,10.0,251.0,64.0,25.5,11.0,122.0,118.0,14.0,3.0,0.0,11.0,3,19,15.0,0.0,Matches,Guido Carrillo,Guido-Carrillo
459,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,30.0,1989.0,7.0,7.0,1,3.0,1.0,3.0,2.0,8.0,25.0,6.0,82.0,26.0,31.7,14.0,38.0,30.0,7.0,3.0,0.0,4.0,3,10,21.0,0.0,Matches,Andy Carroll,Andy-Carroll
460,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,27.0,1992.0,30.4,70.0,53,30.0,31.0,9.0,19.0,47.0,40.4,28.0,442.0,132.0,29.9,143.0,206.0,93.0,71.0,14.0,0.0,57.0,39,109,36.0,1.0,Matches,Dani Carvajal,Dani-Carvajal
461,Matis Carvalho\Matis-Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20.0,1999.0,0.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Matis Carvalho,Matis-Carvalho
462,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,27.0,1992.0,9.9,10.0,7,3.0,4.0,3.0,4.0,12.0,33.3,8.0,105.0,28.0,26.7,33.0,56.0,16.0,13.0,5.0,0.0,8.0,2,12,13.0,0.0,Matches,William Carvalho,William-Carvalho
463,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,27.0,1992.0,34.3,112.0,75,54.0,46.0,12.0,38.0,99.0,38.4,61.0,605.0,219.0,36.2,255.0,301.0,49.0,83.0,13.0,1.0,70.0,37,149,79.0,0.0,Matches,Casemiro,Casemiro
464,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,21.0,1998.0,6.6,21.0,15,6.0,11.0,4.0,7.0,14.0,50.0,7.0,63.0,26.0,41.3,15.0,32.0,16.0,7.0,2.0,0.0,5.0,4,25,6.0,0.0,Matches,Moreto Cassamã,Moreto-Cassama
465,Francesco Cassata\Francesco-Cassata,it ITA,MF,Genoa,it Serie A,22.0,1997.0,16.2,23.0,13,14.0,6.0,3.0,7.0,28.0,25.0,21.0,352.0,104.0,29.5,150.0,141.0,61.0,20.0,3.0,0.0,17.0,10,33,13.0,0.0,Matches,Francesco Cassata,Francesco-Cassata
466,Timothy Castagne\Timothy-Castagne,be BEL,DF,Atalanta,it Serie A,23.0,1995.0,19.7,39.0,23,12.0,17.0,10.0,17.0,38.0,44.7,21.0,277.0,80.0,28.9,74.0,132.0,71.0,49.0,5.0,0.0,44.0,12,51,30.0,0.0,Matches,Timothy Castagne,Timothy-Castagne
